INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
cflaldiacovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticovid19coin[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19diary[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdeepcleaningservices[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19michigan[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sos[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cienciacovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusriotmap[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusresearchlive[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusclaimscheme[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirustestingservice[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdeepcleansing[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusrapidkits[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
